locus_tag,gene_name,old_locus_tag,start,end,length,strand,gene_product,COG,operon,uniprot
PP_0001,parB,,147,1019,873,-,probable chromosome-partitioning protein,"Replication, recombination and repair",trmF-rsmG-parA-parB,
PP_0002,parA,,1029,1820,792,-,probable chromosome partition protein,"Cell cycle control, cell division, chromosome partitioning",trmF-rsmG-parA-parB,
PP_0003,rsmG,,1839,2489,651,-,16S RNA methyltransferase,"Translation, ribosomal structure and biogenesis",trmF-rsmG-parA-parB,
PP_0004,trmF,,2486,4381,1896,-,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,"Cell cycle control, cell division, chromosome partitioning",trmF-rsmG-parA-parB,
PP_0005,trmE,,5012,6382,1371,-,GTPase,"Translation, ribosomal structure and biogenesis",trmE,
PP_0006,oxaA,,6471,8153,1683,-,probable membrane protein insertase,"Intracellular trafficking, secretion, and vesicular transport",rpmH-rnpA-yidD-oxaA,
PP_0007,yidD,,8156,8401,246,-,conserved hypothetical protein,Function unknown,rpmH-rnpA-yidD-oxaA,
PP_0008,rnpA,,8394,8798,405,-,ribonuclease P protein component,"Translation, ribosomal structure and biogenesis",rpmH-rnpA-yidD-oxaA,
PP_0009,rpmH,,8812,8946,135,-,50S ribosomal protein L34,"Translation, ribosomal structure and biogenesis",rpmH-rnpA-yidD-oxaA,
PP_0010,dnaA,,9542,11062,1521,+,chromosomal replication initiator protein,Nucleotide transport and metabolism,gyrB-recF-dnaN-dnaA,
PP_0011,dnaN,,11103,12206,1104,+,DNA polymerase III subunit beta,"Replication, recombination and repair",gyrB-recF-dnaN-dnaA,
PP_0012,recF,,12222,13325,1104,+,DNA replication and repair protein,"Replication, recombination and repair",gyrB-recF-dnaN-dnaA,
PP_0013,gyrB,,13330,15750,2421,+,DNA gyrase subunit B,"Replication, recombination and repair",gyrB-recF-dnaN-dnaA,
PP_5421,PP_5421,,16589,17227,639,+,conserved protein of unknown function,"Replication, recombination and repair",PP_0015-PP_0014-PP_5421,
PP_0014,PP_0014,,17208,19166,1959,+,putative transposase,"Replication, recombination and repair",PP_0015-PP_0014-PP_5421,
PP_0015,PP_0015,,19163,20122,960,+,putative transposon protein,Function unknown,PP_0015-PP_0014-PP_5421,
PP_0016,PP_0016,,20198,22114,1917,+,conserved hypothetical protein,Function unknown,PP_0016,
PP_0017,turC,,22171,22530,360,+,putative transcriptional regulator,No COG annotation,PP_0017,
PP_0018,PP_0018,,23176,24018,843,+,conserved hypothetical protein,No COG annotation,PP_0020-PP_0019-PP_0018,
PP_0019,PP_0019,,24000,24698,699,+,hypothetical protein,No COG annotation,PP_0020-PP_0019-PP_0018,
PP_0020,PP_0020,,24695,25570,876,+,hypothetical protein,No COG annotation,PP_0020-PP_0019-PP_0018,
PP_0021,PP_0021,,25881,26804,924,+,conserved hypothetical protein,No COG annotation,PP_0021,
PP_0022,PP_0022,,26989,27153,165,-,hypothetical protein,No COG annotation,PP_0022,
PP_0023,PP_0023,,27599,27727,129,-,conserved hypothetical protein,No COG annotation,PP_0023,
PP_0024,PP_0024,,27850,29547,1698,-,putative membrane-associated metal-dependent hydrolase,Function unknown,PP_0024,
PP_0025,PP_0025,,29990,30142,153,-,hypothetical protein,No COG annotation,PP_0025,
PP_0026,PP_0026,,30431,31336,906,+,putative cobalt/cadmium/zinc exporter,Inorganic ion transport and metabolism,PP_0026,
PP_0027,PP_0027,,31404,31844,441,+,conserved membrane protein of unknown function,No COG annotation,PP_0027,
PP_0028,PP_0028,,31877,32203,327,-,conserved hypothetical protein,Function unknown,PP_0028,
PP_5422,PP_5422,,32402,32575,174,+,hypothetical protein,No COG annotation,PP_5422,
PP_0029,czcR-I,,32893,33567,675,+,two component heavy metal response regulator,Transcription,czrSA-czcR-I,
PP_0030,czrSA,,33564,34982,1419,+,metal-sensor histidine kinase,Signal transduction mechanisms,czrSA-czcR-I,
PP_0031,PP_0031,,35040,35627,588,-,hypothetical protein,No COG annotation,PP_0031,
PP_0032,PP_0032,,35894,36115,222,+,conserved hypothetical protein,No COG annotation,PP_0032,
PP_0033,PP_0033,,36198,37652,1455,-,putative undecaprenyl-glycosyl transferase,Cell wall/membrane/envelope biogenesis,PP_0035-PP_0034-PP_0033,
PP_0034,PP_0034,,37646,38629,984,-,putative bactoprenol glycosyl-transferase from phage origin,Cell wall/membrane/envelope biogenesis,PP_0035-PP_0034-PP_0033,
PP_0035,PP_0035,,38595,39014,420,-,putative bactoprenol-linked glycose transferase,Function unknown,PP_0035-PP_0034-PP_0033,
PP_0036,PP_0036,,39272,40240,969,+,putative transcriptional regulator,Transcription,PP_0036,
PP_0037,oprP,,40469,41758,1290,+,porin P,Inorganic ion transport and metabolism,oprP,
PP_0039,PP_0039,,42057,43082,1026,+,hypothetical protein,No COG annotation,PP_0039,
PP_0040,PP_0040,,43210,43434,225,+,hypothetical protein,No COG annotation,PP_0040,
