,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator
PP_0001,parB,AE015451.2,,147.0,1019.0,-,probable chromosome-partitioning protein,"Replication, recombination and repair",,Op0,
PP_0002,parA,AE015451.2,,1029.0,1820.0,-,probable chromosome partition protein,"Cell cycle control, cell division, chromosome partitioning",,Op0,
PP_0003,rsmG,AE015451.2,,1839.0,2489.0,-,16S RNA methyltransferase,"Translation, ribosomal structure and biogenesis",,Op0,
PP_0004,trmF,AE015451.2,,2486.0,4381.0,-,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,"Cell cycle control, cell division, chromosome partitioning",,Op0,
PP_0005,trmE,AE015451.2,,5012.0,6382.0,-,GTPase,"Translation, ribosomal structure and biogenesis",,Op1,AlgR
PP_0006,oxaA,AE015451.2,,6471.0,8153.0,-,probable membrane protein insertase,"Intracellular trafficking, secretion, and vesicular transport",,Op2,
PP_0007,yidD,AE015451.2,,8156.0,8401.0,-,conserved hypothetical protein,Function unknown,,Op2,
PP_0008,rnpA,AE015451.2,,8394.0,8798.0,-,ribonuclease P protein component,"Translation, ribosomal structure and biogenesis",,Op2,
PP_0009,rpmH,AE015451.2,,8812.0,8946.0,-,50S ribosomal protein L34,"Translation, ribosomal structure and biogenesis",,Op2,CbrB
PP_0010,dnaA,AE015451.2,,9542.0,11062.0,+,chromosomal replication initiator protein,Nucleotide transport and metabolism,,Op3,AlgR
PP_0011,dnaN,AE015451.2,,11103.0,12206.0,+,DNA polymerase III subunit beta,"Replication, recombination and repair",,Op3,
PP_0012,recF,AE015451.2,,12222.0,13325.0,+,DNA replication and repair protein,"Replication, recombination and repair",,Op3,
PP_0013,gyrB,AE015451.2,,13330.0,15750.0,+,DNA gyrase subunit B,"Replication, recombination and repair",,Op3,
PP_5421,PP_5421,AE015451.2,,16589.0,17227.0,+,conserved protein of unknown function,"Replication, recombination and repair",,Op4,
PP_0014,PP_0014,AE015451.2,,17208.0,19166.0,+,putative transposase,"Replication, recombination and repair",,Op4,
PP_0015,PP_0015,AE015451.2,,19163.0,20122.0,+,putative transposon protein,Function unknown,,Op4,
PP_0016,PP_0016,AE015451.2,,20198.0,22114.0,+,conserved hypothetical protein,Function unknown,,Op5,
PP_0017,PP_0017,AE015451.2,,22171.0,22530.0,+,putative transcriptional regulator,No COG annotation,,Op6,
PP_0018,PP_0018,AE015451.2,,23176.0,24018.0,+,conserved hypothetical protein,No COG annotation,,Op7,
PP_0019,PP_0019,AE015451.2,,24000.0,24698.0,+,hypothetical protein,No COG annotation,,Op7,
PP_0020,PP_0020,AE015451.2,,24695.0,25570.0,+,hypothetical protein,No COG annotation,,Op7,
PP_0021,PP_0021,AE015451.2,,25881.0,26804.0,+,conserved hypothetical protein,No COG annotation,,Op8,
PP_0022,PP_0022,AE015451.2,,26989.0,27153.0,-,hypothetical protein,No COG annotation,,Op9,
PP_0023,PP_0023,AE015451.2,,27599.0,27727.0,-,conserved hypothetical protein,No COG annotation,,Op10,
PP_0024,PP_0024,AE015451.2,,27850.0,29547.0,-,putative membrane-associated metal-dependent hydrolase,Function unknown,,Op11,
PP_0025,PP_0025,AE015451.2,,29990.0,30142.0,-,hypothetical protein,No COG annotation,,Op12,
PP_0026,PP_0026,AE015451.2,,30431.0,31336.0,+,putative cobalt/cadmium/zinc exporter,Inorganic ion transport and metabolism,,Op13,
PP_0027,PP_0027,AE015451.2,,31404.0,31844.0,+,conserved membrane protein of unknown function,No COG annotation,,Op14,
PP_0028,PP_0028,AE015451.2,,31877.0,32203.0,-,conserved hypothetical protein,Function unknown,,Op15,
PP_5422,PP_5422,AE015451.2,,32402.0,32575.0,+,hypothetical protein,No COG annotation,,Op16,
PP_0029,czcR-I,AE015451.2,,32893.0,33567.0,+,two component heavy metal response regulator,Transcription,,Op17,
PP_0030,czrSA,AE015451.2,,33564.0,34982.0,+,metal-sensor histidine kinase,Signal transduction mechanisms,,Op17,
PP_0031,PP_0031,AE015451.2,,35040.0,35627.0,-,hypothetical protein,No COG annotation,,Op18,
PP_0032,PP_0032,AE015451.2,,35894.0,36115.0,+,conserved hypothetical protein,No COG annotation,,Op19,
PP_0033,PP_0033,AE015451.2,,36198.0,37652.0,-,putative undecaprenyl-glycosyl transferase,Cell wall/membrane/envelope biogenesis,,Op20,ColR
PP_0034,PP_0034,AE015451.2,,37646.0,38629.0,-,putative bactoprenol glycosyl-transferase from phage origin,Cell wall/membrane/envelope biogenesis,,Op20,ColR
PP_0035,PP_0035,AE015451.2,,38595.0,39014.0,-,putative bactoprenol-linked glycose transferase,Function unknown,,Op20,ColR
PP_0036,PP_0036,AE015451.2,,39272.0,40240.0,+,putative transcriptional regulator,Transcription,,Op21,"AlgR,CbrB"
PP_0037,oprP,AE015451.2,,40469.0,41758.0,+,porin P,Inorganic ion transport and metabolism,,Op22,PhoB
PP_0039,PP_0039,AE015451.2,,42057.0,43082.0,+,hypothetical protein,No COG annotation,,Op23,
PP_0040,PP_0040,AE015451.2,,43210.0,43434.0,+,hypothetical protein,No COG annotation,,Op24,
PP_0041,cadA-I,AE015451.2,,43527.0,45524.0,-,cadmium translocating P-type ATPase,Inorganic ion transport and metabolism,,Op25,
PP_0042,PP_0042,AE015451.2,,45727.0,46050.0,-,conserved exported protein of unknown function,Function unknown,,Op26,
PP_0043,czcA-I,AE015451.2,,46213.0,49374.0,-,cation efflux system protein,Inorganic ion transport and metabolism,,Op27,
PP_0044,czcB-I,AE015451.2,,49399.0,50649.0,-,cobalt-zinc-cadmium resistance protein,Cell wall/membrane/envelope biogenesis,,Op27,
PP_0045,czcC-I,AE015451.2,,50718.0,51989.0,-,cobalt-zinc-cadmium resistance protein,Cell wall/membrane/envelope biogenesis,,Op28,
PP_0046,opdT-I,AE015451.2,,52394.0,53737.0,+,tyrosine-specific outer membrane porin D,Function unknown,,Op29,GlnG
PP_0047,czcR-II,AE015451.2,,54227.0,54901.0,+,response regulator,Transcription,,Op30,
PP_0048,PP_0048,AE015451.2,,55019.0,55342.0,+,conserved protein of unknown function,No COG annotation,,Op31,
PP_5423,PP_5423,AE015451.2,,55444.0,55971.0,-,conserved membrane protein of unknown function,No COG annotation,,Op32,
PP_0049,PP_0049,AE015451.2,,56161.0,57627.0,-,conserved protein of unknown function,No COG annotation,,Op33,
PP_5424,PP_5424,AE015451.2,,57640.0,58089.0,-,conserved protein of unknown function,No COG annotation,,Op33,
PP_0050,PP_0050,AE015451.2,,58777.0,59184.0,-,conserved exported protein of unknown function,Function unknown,,Op34,
PP_0051,PP_0051,AE015451.2,,59316.0,60608.0,-,putative sigma-54 dependent transcriptional regulator,Transcription,,Op35,"TurA,FleQ"
PP_0052,PP_0052,AE015451.2,,60831.0,61715.0,+,beta-lactamase domain protein%2C putative hydrolase,Function unknown,,Op36,
PP_0053,PP_0053,AE015451.2,,61756.0,63024.0,+,putative sulfide:quinone oxidoreductase,Function unknown,,Op36,
PP_0054,PP_0054,AE015451.2,,62982.0,63839.0,+,conserved membrane protein of unknown function,Function unknown,,Op36,GacA
PP_0055,PP_0055,AE015451.2,,63828.0,64715.0,-,transcriptional regulator,Transcription,,Op37,
PP_0056,betA-I,AE015451.2,,64943.0,66595.0,+,choline dehydrogenase,Amino acid transport and metabolism,,Op38,
PP_0057,PP_0057,AE015451.2,,66693.0,68312.0,+,major facilitator family transporter,Amino acid transport and metabolism,,Op39,Crc
PP_0058,PP_0058,AE015451.2,,68487.0,69272.0,-,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,,Op40,
PP_0059,gmhB,AE015451.2,,69319.0,69846.0,-,D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,Amino acid transport and metabolism,,Op41,
