locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
PP_0001,parB,AE015451.2,,147,1019,-,probable chromosome-partitioning protein,"Replication, recombination and repair",,Op0
PP_0002,parA,AE015451.2,,1029,1820,-,probable chromosome partition protein,"Cell cycle control, cell division, chromosome partitioning",,Op0
PP_0003,rsmG,AE015451.2,,1839,2489,-,16S RNA methyltransferase,"Translation, ribosomal structure and biogenesis",,Op0
PP_0004,trmF,AE015451.2,,2486,4381,-,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,"Cell cycle control, cell division, chromosome partitioning",,Op0
PP_0005,trmE,AE015451.2,,5012,6382,-,GTPase,"Translation, ribosomal structure and biogenesis",,Op1
PP_0006,oxaA,AE015451.2,,6471,8153,-,probable membrane protein insertase,"Intracellular trafficking, secretion, and vesicular transport",,Op2
PP_0007,yidD,AE015451.2,,8156,8401,-,conserved hypothetical protein,Function unknown,,Op2
PP_0008,rnpA,AE015451.2,,8394,8798,-,ribonuclease P protein component,"Translation, ribosomal structure and biogenesis",,Op2
PP_0009,rpmH,AE015451.2,,8812,8946,-,50S ribosomal protein L34,"Translation, ribosomal structure and biogenesis",,Op2
PP_0010,dnaA,AE015451.2,,9542,11062,+,chromosomal replication initiator protein,Nucleotide transport and metabolism,,Op3
PP_0011,dnaN,AE015451.2,,11103,12206,+,DNA polymerase III subunit beta,"Replication, recombination and repair",,Op3
PP_0012,recF,AE015451.2,,12222,13325,+,DNA replication and repair protein,"Replication, recombination and repair",,Op3
PP_0013,gyrB,AE015451.2,,13330,15750,+,DNA gyrase subunit B,"Replication, recombination and repair",,Op3
PP_5421,PP_5421,AE015451.2,,16589,17227,+,conserved protein of unknown function,"Replication, recombination and repair",,Op4
PP_0014,PP_0014,AE015451.2,,17208,19166,+,putative transposase,"Replication, recombination and repair",,Op4
PP_0015,PP_0015,AE015451.2,,19163,20122,+,putative transposon protein,Function unknown,,Op4
PP_0016,PP_0016,AE015451.2,,20198,22114,+,conserved hypothetical protein,Function unknown,,Op5
PP_0017,PP_0017,AE015451.2,,22171,22530,+,putative transcriptional regulator,No COG annotation,,Op6
PP_0018,PP_0018,AE015451.2,,23176,24018,+,conserved hypothetical protein,No COG annotation,,Op7
PP_0019,PP_0019,AE015451.2,,24000,24698,+,hypothetical protein,No COG annotation,,Op7
PP_0020,PP_0020,AE015451.2,,24695,25570,+,hypothetical protein,No COG annotation,,Op7
PP_0021,PP_0021,AE015451.2,,25881,26804,+,conserved hypothetical protein,No COG annotation,,Op8
PP_0022,PP_0022,AE015451.2,,26989,27153,-,hypothetical protein,No COG annotation,,Op9
PP_0023,PP_0023,AE015451.2,,27599,27727,-,conserved hypothetical protein,No COG annotation,,Op10
PP_0024,PP_0024,AE015451.2,,27850,29547,-,putative membrane-associated metal-dependent hydrolase,Function unknown,,Op11
PP_0025,PP_0025,AE015451.2,,29990,30142,-,hypothetical protein,No COG annotation,,Op12
PP_0026,PP_0026,AE015451.2,,30431,31336,+,putative cobalt/cadmium/zinc exporter,Inorganic ion transport and metabolism,,Op13
PP_0027,PP_0027,AE015451.2,,31404,31844,+,conserved membrane protein of unknown function,No COG annotation,,Op14
PP_0028,PP_0028,AE015451.2,,31877,32203,-,conserved hypothetical protein,Function unknown,,Op15
PP_5422,PP_5422,AE015451.2,,32402,32575,+,hypothetical protein,No COG annotation,,Op16
PP_0029,czcR-I,AE015451.2,,32893,33567,+,two component heavy metal response regulator,Transcription,,Op17
PP_0030,czrSA,AE015451.2,,33564,34982,+,metal-sensor histidine kinase,Signal transduction mechanisms,,Op17
PP_0031,PP_0031,AE015451.2,,35040,35627,-,hypothetical protein,No COG annotation,,Op18
PP_0032,PP_0032,AE015451.2,,35894,36115,+,conserved hypothetical protein,No COG annotation,,Op19
PP_0033,PP_0033,AE015451.2,,36198,37652,-,putative undecaprenyl-glycosyl transferase,Cell wall/membrane/envelope biogenesis,,Op20
PP_0034,PP_0034,AE015451.2,,37646,38629,-,putative bactoprenol glycosyl-transferase from phage origin,Cell wall/membrane/envelope biogenesis,,Op20
PP_0035,PP_0035,AE015451.2,,38595,39014,-,putative bactoprenol-linked glycose transferase,Function unknown,,Op20
PP_0036,PP_0036,AE015451.2,,39272,40240,+,putative transcriptional regulator,Transcription,,Op21
PP_0037,oprP,AE015451.2,,40469,41758,+,porin P,Inorganic ion transport and metabolism,,Op22
PP_0039,PP_0039,AE015451.2,,42057,43082,+,hypothetical protein,No COG annotation,,Op23
PP_0040,PP_0040,AE015451.2,,43210,43434,+,hypothetical protein,No COG annotation,,Op24
PP_0041,cadA-I,AE015451.2,,43527,45524,-,cadmium translocating P-type ATPase,Inorganic ion transport and metabolism,,Op25
PP_0042,PP_0042,AE015451.2,,45727,46050,-,conserved exported protein of unknown function,Function unknown,,Op26
PP_0043,czcA-I,AE015451.2,,46213,49374,-,cation efflux system protein,Inorganic ion transport and metabolism,,Op27
PP_0044,czcB-I,AE015451.2,,49399,50649,-,cobalt-zinc-cadmium resistance protein,Cell wall/membrane/envelope biogenesis,,Op27
PP_0045,czcC-I,AE015451.2,,50718,51989,-,cobalt-zinc-cadmium resistance protein,Cell wall/membrane/envelope biogenesis,,Op28
PP_0046,opdT-I,AE015451.2,,52394,53737,+,tyrosine-specific outer membrane porin D,Function unknown,,Op29
PP_0047,czcR-II,AE015451.2,,54227,54901,+,response regulator,Transcription,,Op30
PP_0048,PP_0048,AE015451.2,,55019,55342,+,conserved protein of unknown function,No COG annotation,,Op31
PP_5423,PP_5423,AE015451.2,,55444,55971,-,conserved membrane protein of unknown function,No COG annotation,,Op32
PP_0049,PP_0049,AE015451.2,,56161,57627,-,conserved protein of unknown function,No COG annotation,,Op33
PP_5424,PP_5424,AE015451.2,,57640,58089,-,conserved protein of unknown function,No COG annotation,,Op33
PP_0050,PP_0050,AE015451.2,,58777,59184,-,conserved exported protein of unknown function,Function unknown,,Op34
PP_0051,PP_0051,AE015451.2,,59316,60608,-,putative sigma-54 dependent transcriptional regulator,Transcription,,Op35
PP_0052,PP_0052,AE015451.2,,60831,61715,+,beta-lactamase domain protein%2C putative hydrolase,Function unknown,,Op36
PP_0053,PP_0053,AE015451.2,,61756,63024,+,putative sulfide:quinone oxidoreductase,Function unknown,,Op36
PP_0054,PP_0054,AE015451.2,,62982,63839,+,conserved membrane protein of unknown function,Function unknown,,Op36
PP_0055,PP_0055,AE015451.2,,63828,64715,-,transcriptional regulator,Transcription,,Op37
